192.175.48.1/32 #AS1296 University of Chili, CL - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
181.212.0.0/16 #AS16629 CTC. CORP S.A. TELEFONICA EMPRESAS, CL
186.40.128.0/17 #AS16629 CTC. CORP S.A. TELEFONICA EMPRESAS, CL
190.4.192.0/19 #AS16629 CTC. CORP S.A. TELEFONICA EMPRESAS, CL
190.171.128.0/18 #AS16629 CTC. CORP S.A. TELEFONICA EMPRESAS, CL
200.0.116.0/24 #AS16629 CTC. CORP S.A. TELEFONICA EMPRESAS, CL
200.14.96.0/23 #AS16629 CTC. CORP S.A. TELEFONICA EMPRESAS, CL
200.54.0.0/16 #AS16629 CTC. CORP S.A. TELEFONICA EMPRESAS, CL
200.68.0.0/18 #AS16629 CTC. CORP S.A. TELEFONICA EMPRESAS, CL
200.113.4.0/22 #AS16629 CTC. CORP S.A. TELEFONICA EMPRESAS, CL
200.113.48.0/22 #AS16629 CTC. CORP S.A. TELEFONICA EMPRESAS, CL
200.113.60.0/22 #AS16629 CTC. CORP S.A. TELEFONICA EMPRESAS, CL
201.236.168.0/21 #AS16629 CTC. CORP S.A. TELEFONICA EMPRESAS, CL
201.236.176.0/21 #AS16629 CTC. CORP S.A. TELEFONICA EMPRESAS, CL
158.251.0.0/16 #AS16742 Universidad Catolica de Valparaiso, CL
170.18.1.0/24 #AS16780 Banco Santander, CL
170.18.20.0/24 #AS16780 Banco Santander, CL
170.18.32.0/24 #AS16780 Banco Santander, CL
170.18.191.0/24 #AS16780 Banco Santander, CL
192.175.48.1/32 #AS16847 Servicios Informativos EMOL S.A., CL - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
192.231.110.0/24 #AS16874 SONDA S.A., CL
198.41.32.0/21 #AS16874 SONDA S.A., CL
198.41.40.0/23 #AS16874 SONDA S.A., CL
200.0.156.0/24 #AS16874 SONDA S.A., CL
200.0.158.0/24 #AS16874 SONDA S.A., CL
200.1.128.0/24 #AS16874 SONDA S.A., CL
200.2.75.0/24 #AS16874 SONDA S.A., CL
200.6.65.0/24 #AS16874 SONDA S.A., CL
200.6.66.0/23 #AS16874 SONDA S.A., CL
200.6.73.0/24 #AS16874 SONDA S.A., CL
200.6.78.0/24 #AS16874 SONDA S.A., CL
198.22.250.0/24 #AS16990 TRANSBANK S.A., CL
200.10.9.0/24 #AS16990 TRANSBANK S.A., CL
200.10.11.0/24 #AS16990 TRANSBANK S.A., CL
200.10.12.0/23 #AS16990 TRANSBANK S.A., CL
200.10.14.0/24 #AS16990 TRANSBANK S.A., CL
200.3.208.0/21 #AS17126 E-money, CL
163.247.0.0/16 #AS17147 Ministerio del Interior y de Seguridad Publica - Gobierno de Chile, CL
192.175.48.1/32 #AS17257 Collective Mind Chile S.A., CL - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
200.1.131.0/24 #AS18492 Almacenes Paris Comercial S.A, CL
152.230.7.0/24 #AS18822 Manquehuenet, CL
152.230.17.0/24 #AS18822 Manquehuenet, CL
152.230.18.0/23 #AS18822 Manquehuenet, CL
152.230.20.0/23 #AS18822 Manquehuenet, CL
152.230.22.0/24 #AS18822 Manquehuenet, CL
152.230.33.0/24 #AS18822 Manquehuenet, CL
152.230.35.0/24 #AS18822 Manquehuenet, CL
152.230.39.0/24 #AS18822 Manquehuenet, CL
152.230.40.0/24 #AS18822 Manquehuenet, CL
152.230.48.0/21 #AS18822 Manquehuenet, CL
152.230.56.0/23 #AS18822 Manquehuenet, CL
152.230.58.0/24 #AS18822 Manquehuenet, CL
152.230.60.0/22 #AS18822 Manquehuenet, CL
152.230.72.0/24 #AS18822 Manquehuenet, CL
152.230.75.0/24 #AS18822 Manquehuenet, CL
152.230.76.0/22 #AS18822 Manquehuenet, CL
152.230.80.0/22 #AS18822 Manquehuenet, CL
152.230.84.0/23 #AS18822 Manquehuenet, CL
152.230.86.0/24 #AS18822 Manquehuenet, CL
152.230.88.0/23 #AS18822 Manquehuenet, CL
152.230.91.0/24 #AS18822 Manquehuenet, CL
152.230.92.0/24 #AS18822 Manquehuenet, CL
152.230.97.0/24 #AS18822 Manquehuenet, CL
152.230.98.0/23 #AS18822 Manquehuenet, CL
152.230.100.0/23 #AS18822 Manquehuenet, CL
152.230.102.0/24 #AS18822 Manquehuenet, CL
152.230.109.0/24 #AS18822 Manquehuenet, CL
152.230.110.0/23 #AS18822 Manquehuenet, CL
152.230.116.0/23 #AS18822 Manquehuenet, CL
152.230.118.0/24 #AS18822 Manquehuenet, CL
152.230.128.0/23 #AS18822 Manquehuenet, CL
152.230.130.0/24 #AS18822 Manquehuenet, CL
152.230.132.0/22 #AS18822 Manquehuenet, CL
152.230.136.0/24 #AS18822 Manquehuenet, CL
152.230.138.0/23 #AS18822 Manquehuenet, CL
152.230.140.0/23 #AS18822 Manquehuenet, CL
152.230.149.0/24 #AS18822 Manquehuenet, CL
152.230.150.0/23 #AS18822 Manquehuenet, CL
152.230.153.0/24 #AS18822 Manquehuenet, CL
152.230.154.0/24 #AS18822 Manquehuenet, CL
152.230.160.0/24 #AS18822 Manquehuenet, CL
152.230.166.0/23 #AS18822 Manquehuenet, CL
152.230.171.0/24 #AS18822 Manquehuenet, CL
152.230.172.0/23 #AS18822 Manquehuenet, CL
152.230.174.0/24 #AS18822 Manquehuenet, CL
152.230.176.0/22 #AS18822 Manquehuenet, CL
152.230.184.0/22 #AS18822 Manquehuenet, CL
152.230.194.0/23 #AS18822 Manquehuenet, CL
152.230.200.0/23 #AS18822 Manquehuenet, CL
152.230.202.0/24 #AS18822 Manquehuenet, CL
152.230.204.0/22 #AS18822 Manquehuenet, CL
152.230.208.0/23 #AS18822 Manquehuenet, CL
152.230.210.0/24 #AS18822 Manquehuenet, CL
152.230.216.0/21 #AS18822 Manquehuenet, CL
152.230.226.0/23 #AS18822 Manquehuenet, CL
152.230.228.0/24 #AS18822 Manquehuenet, CL
152.230.232.0/24 #AS18822 Manquehuenet, CL
152.230.237.0/24 #AS18822 Manquehuenet, CL
152.230.238.0/23 #AS18822 Manquehuenet, CL
152.230.242.0/24 #AS18822 Manquehuenet, CL
152.230.249.0/24 #AS18822 Manquehuenet, CL
152.230.250.0/24 #AS18822 Manquehuenet, CL
190.8.66.0/23 #AS18822 Manquehuenet, CL
190.8.68.0/24 #AS18822 Manquehuenet, CL
190.8.72.0/23 #AS18822 Manquehuenet, CL
190.8.77.0/24 #AS18822 Manquehuenet, CL
190.8.78.0/24 #AS18822 Manquehuenet, CL
190.8.81.0/24 #AS18822 Manquehuenet, CL
190.8.86.0/24 #AS18822 Manquehuenet, CL
190.8.92.0/22 #AS18822 Manquehuenet, CL
190.8.97.0/24 #AS18822 Manquehuenet, CL
190.8.98.0/23 #AS18822 Manquehuenet, CL
190.8.102.0/23 #AS18822 Manquehuenet, CL
190.8.104.0/22 #AS18822 Manquehuenet, CL
190.8.108.0/23 #AS18822 Manquehuenet, CL
190.8.112.0/23 #AS18822 Manquehuenet, CL
190.8.116.0/24 #AS18822 Manquehuenet, CL
190.8.118.0/24 #AS18822 Manquehuenet, CL
190.8.120.0/22 #AS18822 Manquehuenet, CL
190.8.124.0/24 #AS18822 Manquehuenet, CL
190.8.126.0/23 #AS18822 Manquehuenet, CL
190.96.1.0/24 #AS18822 Manquehuenet, CL
190.96.21.0/24 #AS18822 Manquehuenet, CL
190.96.22.0/24 #AS18822 Manquehuenet, CL
190.96.24.0/23 #AS18822 Manquehuenet, CL
190.96.28.0/23 #AS18822 Manquehuenet, CL
190.96.30.0/24 #AS18822 Manquehuenet, CL
190.96.32.0/23 #AS18822 Manquehuenet, CL
190.96.36.0/23 #AS18822 Manquehuenet, CL
190.96.39.0/24 #AS18822 Manquehuenet, CL
190.96.40.0/23 #AS18822 Manquehuenet, CL
190.96.42.0/24 #AS18822 Manquehuenet, CL
190.96.57.0/24 #AS18822 Manquehuenet, CL
190.96.59.0/24 #AS18822 Manquehuenet, CL
190.96.86.0/24 #AS18822 Manquehuenet, CL
190.96.88.0/24 #AS18822 Manquehuenet, CL
190.96.95.0/24 #AS18822 Manquehuenet, CL
190.98.222.0/23 #AS18822 Manquehuenet, CL
190.98.226.0/24 #AS18822 Manquehuenet, CL
190.98.234.0/23 #AS18822 Manquehuenet, CL
190.98.250.0/23 #AS18822 Manquehuenet, CL
190.153.128.0/20 #AS18822 Manquehuenet, CL
190.153.145.0/24 #AS18822 Manquehuenet, CL
190.153.146.0/23 #AS18822 Manquehuenet, CL
190.153.148.0/22 #AS18822 Manquehuenet, CL
190.153.152.0/22 #AS18822 Manquehuenet, CL
190.153.156.0/24 #AS18822 Manquehuenet, CL
190.153.166.0/23 #AS18822 Manquehuenet, CL
190.153.168.0/24 #AS18822 Manquehuenet, CL
190.153.192.0/21 #AS18822 Manquehuenet, CL
190.153.200.0/22 #AS18822 Manquehuenet, CL
190.153.204.0/24 #AS18822 Manquehuenet, CL
190.196.24.0/24 #AS18822 Manquehuenet, CL
190.196.33.0/24 #AS18822 Manquehuenet, CL
190.196.36.0/22 #AS18822 Manquehuenet, CL
190.196.40.0/23 #AS18822 Manquehuenet, CL
190.196.43.0/24 #AS18822 Manquehuenet, CL
190.196.44.0/22 #AS18822 Manquehuenet, CL
190.196.48.0/22 #AS18822 Manquehuenet, CL
190.196.54.0/24 #AS18822 Manquehuenet, CL
190.196.60.0/24 #AS18822 Manquehuenet, CL
190.196.74.0/23 #AS18822 Manquehuenet, CL
190.196.76.0/24 #AS18822 Manquehuenet, CL
190.196.80.0/20 #AS18822 Manquehuenet, CL
190.196.96.0/21 #AS18822 Manquehuenet, CL
190.196.104.0/22 #AS18822 Manquehuenet, CL
190.196.112.0/22 #AS18822 Manquehuenet, CL
190.196.116.0/23 #AS18822 Manquehuenet, CL
190.196.119.0/24 #AS18822 Manquehuenet, CL
190.196.134.0/23 #AS18822 Manquehuenet, CL
190.196.137.0/24 #AS18822 Manquehuenet, CL
190.196.140.0/23 #AS18822 Manquehuenet, CL
190.196.142.0/24 #AS18822 Manquehuenet, CL
190.196.144.0/24 #AS18822 Manquehuenet, CL
190.196.168.0/24 #AS18822 Manquehuenet, CL
190.196.171.0/24 #AS18822 Manquehuenet, CL
190.196.178.0/24 #AS18822 Manquehuenet, CL
190.196.183.0/24 #AS18822 Manquehuenet, CL
190.196.187.0/24 #AS18822 Manquehuenet, CL
190.196.188.0/24 #AS18822 Manquehuenet, CL
190.215.0.0/20 #AS18822 Manquehuenet, CL
190.215.16.0/22 #AS18822 Manquehuenet, CL
190.215.21.0/24 #AS18822 Manquehuenet, CL
190.215.22.0/23 #AS18822 Manquehuenet, CL
190.215.24.0/23 #AS18822 Manquehuenet, CL
190.215.28.0/22 #AS18822 Manquehuenet, CL
190.215.42.0/24 #AS18822 Manquehuenet, CL
190.215.52.0/23 #AS18822 Manquehuenet, CL
190.215.54.0/24 #AS18822 Manquehuenet, CL
190.215.58.0/23 #AS18822 Manquehuenet, CL
190.215.60.0/22 #AS18822 Manquehuenet, CL
190.215.64.0/22 #AS18822 Manquehuenet, CL
190.215.80.0/20 #AS18822 Manquehuenet, CL
190.215.96.0/22 #AS18822 Manquehuenet, CL
190.215.100.0/23 #AS18822 Manquehuenet, CL
190.215.102.0/24 #AS18822 Manquehuenet, CL
190.215.108.0/24 #AS18822 Manquehuenet, CL
190.215.120.0/22 #AS18822 Manquehuenet, CL
190.215.127.0/24 #AS18822 Manquehuenet, CL
190.215.128.0/22 #AS18822 Manquehuenet, CL
190.215.133.0/24 #AS18822 Manquehuenet, CL
190.215.134.0/23 #AS18822 Manquehuenet, CL
190.215.136.0/22 #AS18822 Manquehuenet, CL
190.215.140.0/23 #AS18822 Manquehuenet, CL
190.215.143.0/24 #AS18822 Manquehuenet, CL
190.215.144.0/24 #AS18822 Manquehuenet, CL
190.215.146.0/23 #AS18822 Manquehuenet, CL
190.215.148.0/22 #AS18822 Manquehuenet, CL
190.215.152.0/21 #AS18822 Manquehuenet, CL
190.215.169.0/24 #AS18822 Manquehuenet, CL
190.215.170.0/24 #AS18822 Manquehuenet, CL
190.215.172.0/22 #AS18822 Manquehuenet, CL
190.215.176.0/20 #AS18822 Manquehuenet, CL
190.215.217.0/24 #AS18822 Manquehuenet, CL
190.215.224.0/22 #AS18822 Manquehuenet, CL
190.215.228.0/23 #AS18822 Manquehuenet, CL
190.215.231.0/24 #AS18822 Manquehuenet, CL
190.215.232.0/22 #AS18822 Manquehuenet, CL
190.215.236.0/23 #AS18822 Manquehuenet, CL
190.215.238.0/24 #AS18822 Manquehuenet, CL
190.215.244.0/22 #AS18822 Manquehuenet, CL
190.215.248.0/22 #AS18822 Manquehuenet, CL
190.215.252.0/23 #AS18822 Manquehuenet, CL
190.215.254.0/24 #AS18822 Manquehuenet, CL
200.74.163.0/24 #AS18822 Manquehuenet, CL
200.74.168.0/24 #AS18822 Manquehuenet, CL
200.74.173.0/24 #AS18822 Manquehuenet, CL
200.74.174.0/24 #AS18822 Manquehuenet, CL
200.74.176.0/23 #AS18822 Manquehuenet, CL
200.74.179.0/24 #AS18822 Manquehuenet, CL
200.74.180.0/23 #AS18822 Manquehuenet, CL
200.74.183.0/24 #AS18822 Manquehuenet, CL
200.74.184.0/24 #AS18822 Manquehuenet, CL
200.74.186.0/23 #AS18822 Manquehuenet, CL
200.119.225.0/24 #AS18822 Manquehuenet, CL
200.119.227.0/24 #AS18822 Manquehuenet, CL
200.119.229.0/24 #AS18822 Manquehuenet, CL
200.119.230.0/23 #AS18822 Manquehuenet, CL
200.119.232.0/22 #AS18822 Manquehuenet, CL
200.119.236.0/23 #AS18822 Manquehuenet, CL
200.119.238.0/24 #AS18822 Manquehuenet, CL
200.119.245.0/24 #AS18822 Manquehuenet, CL
200.119.247.0/24 #AS18822 Manquehuenet, CL
200.119.248.0/23 #AS18822 Manquehuenet, CL
200.119.250.0/24 #AS18822 Manquehuenet, CL
200.119.252.0/22 #AS18822 Manquehuenet, CL
200.124.32.0/22 #AS18822 Manquehuenet, CL
200.124.36.0/23 #AS18822 Manquehuenet, CL
200.124.40.0/24 #AS18822 Manquehuenet, CL
200.124.42.0/23 #AS18822 Manquehuenet, CL
200.124.48.0/24 #AS18822 Manquehuenet, CL
200.124.50.0/23 #AS18822 Manquehuenet, CL
200.124.52.0/24 #AS18822 Manquehuenet, CL
200.124.54.0/23 #AS18822 Manquehuenet, CL
200.124.57.0/24 #AS18822 Manquehuenet, CL
200.124.58.0/24 #AS18822 Manquehuenet, CL
200.124.60.0/22 #AS18822 Manquehuenet, CL
201.238.218.0/24 #AS18822 Manquehuenet, CL
201.238.225.0/24 #AS18822 Manquehuenet, CL
201.238.252.0/24 #AS18822 Manquehuenet, CL
201.238.255.0/24 #AS18822 Manquehuenet, CL
192.175.48.1/32 #AS18941 El Mercurio S.A.P., CL - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
192.175.48.1/32 #AS19077 CYBERCENTER S.A., CL - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
181.212.60.0/24 #AS19196 TELEFONICA MOVIL DE CHILE S.A., CL
192.175.48.1/32 #AS19228 ENTEL CHILE S.A., CL - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
192.175.48.1/32 #AS19338 Telmex Chile Internet S.A., CL - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
192.175.48.1/32 #AS19411 Nap Chile, CL - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
192.175.48.1/32 #AS19632 VTR BANDA ANCHA S.A., CL - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
200.2.204.0/23 #AS20015 FullCom S.A., CL
200.71.192.0/19 #AS20015 FullCom S.A., CL
201.219.128.0/24 #AS20015 FullCom S.A., CL
201.219.131.0/24 #AS20015 FullCom S.A., CL
201.219.132.0/22 #AS20015 FullCom S.A., CL
201.219.136.0/21 #AS20015 FullCom S.A., CL
201.219.144.0/20 #AS20015 FullCom S.A., CL
146.155.0.0/16 #AS20191 Pontificia Universidad Catolica de Chile, CL
192.175.48.1/32 #AS20256 Ultramar Agencia Maratima, CL - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
192.175.48.1/32 #AS20361 Globalnet S.A., CL - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
192.175.48.1/32 #AS21614 LatLink.net S.A, CL - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
200.1.143.0/24 #AS21753 Consorcio seguros Vida, CL
64.76.154.0/23 #AS21765 VOISSNET S.A., CL
192.141.64.0/22 #AS21765 VOISSNET S.A., CL
192.175.48.1/32 #AS21862 SODIMAC SA, CL - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
179.2.0.0/16 #AS22047 VTR BANDA ANCHA S.A., CL
186.156.0.0/16 #AS22047 VTR BANDA ANCHA S.A., CL
190.44.0.0/14 #AS22047 VTR BANDA ANCHA S.A., CL
190.100.0.0/15 #AS22047 VTR BANDA ANCHA S.A., CL
190.160.0.0/14 #AS22047 VTR BANDA ANCHA S.A., CL
190.164.0.0/16 #AS22047 VTR BANDA ANCHA S.A., CL
191.116.0.0/16 #AS22047 VTR BANDA ANCHA S.A., CL
191.119.0.0/16 #AS22047 VTR BANDA ANCHA S.A., CL
200.30.192.0/18 #AS22047 VTR BANDA ANCHA S.A., CL
200.73.224.0/19 #AS22047 VTR BANDA ANCHA S.A., CL
200.74.0.0/17 #AS22047 VTR BANDA ANCHA S.A., CL
200.83.0.0/16 #AS22047 VTR BANDA ANCHA S.A., CL
200.86.0.0/16 #AS22047 VTR BANDA ANCHA S.A., CL
200.104.0.0/16 #AS22047 VTR BANDA ANCHA S.A., CL
200.120.0.0/16 #AS22047 VTR BANDA ANCHA S.A., CL
201.214.0.0/15 #AS22047 VTR BANDA ANCHA S.A., CL
201.239.0.0/16 #AS22047 VTR BANDA ANCHA S.A., CL
201.241.0.0/16 #AS22047 VTR BANDA ANCHA S.A., CL
192.175.48.1/32 #AS22661 Telex Chile S.A., CL - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
45.234.156.0/24 #AS22860 SERVICIOS INTERNET LTDA, CL
190.113.0.0/19 #AS22860 SERVICIOS INTERNET LTDA, CL
200.24.224.0/20 #AS22860 SERVICIOS INTERNET LTDA, CL
200.91.40.0/23 #AS22860 SERVICIOS INTERNET LTDA, CL
192.175.48.1/32 #AS22924 SCOTIABANK CHILE Banco del Desarrollo, CL - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
200.14.130.0/24 #AS22975 Banco de Chile, CL
200.14.132.0/23 #AS22975 Banco de Chile, CL
200.14.135.0/24 #AS22975 Banco de Chile, CL
200.14.140.0/24 #AS22975 Banco de Chile, CL
200.14.156.0/24 #AS22975 Banco de Chile, CL
200.14.160.0/24 #AS22975 Banco de Chile, CL
200.14.176.0/23 #AS22975 Banco de Chile, CL
146.83.2.0/23 #AS23140 Universidad de Chile, CL
146.83.4.0/22 #AS23140 Universidad de Chile, CL
146.83.8.0/21 #AS23140 Universidad de Chile, CL
146.83.16.0/20 #AS23140 Universidad de Chile, CL
146.83.32.0/19 #AS23140 Universidad de Chile, CL
192.80.24.0/24 #AS23140 Universidad de Chile, CL
200.9.97.0/24 #AS23140 Universidad de Chile, CL
200.9.98.0/23 #AS23140 Universidad de Chile, CL
200.9.100.0/24 #AS23140 Universidad de Chile, CL
200.89.64.0/20 #AS23140 Universidad de Chile, CL
181.118.160.0/20 #AS23416 TELEFONICA EMPRESAS CHILE SA, CL
192.175.48.1/32 #AS23488 GLOBALECBUSINESS S.A., CL - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
200.27.156.0/24 #AS25718 Turismo Cocha S.A, CL
192.175.48.1/32 #AS26119 Orden S.A, CL - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
192.175.48.1/32 #AS26601 Publiguias, CL - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
192.175.48.1/32 #AS26604 Euroamerica Seguros de Vida S.A, CL - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
146.83.90.0/24 #AS26610 Universidad Tecnica Federico Santa Maria, CL
146.83.92.0/24 #AS26610 Universidad Tecnica Federico Santa Maria, CL
200.1.16.0/20 #AS26610 Universidad Tecnica Federico Santa Maria, CL
204.87.169.0/24 #AS26610 Universidad Tecnica Federico Santa Maria, CL
131.108.208.0/22 #AS26623 TECNOLOGIACHILE.COM LTDA TCHILE.COM, CL
11.96.0.0/24 #AS27651 ENTEL CHILE S.A., CL
152.231.64.0/18 #AS27651 ENTEL CHILE S.A., CL
164.77.0.0/16 #AS27651 ENTEL CHILE S.A., CL
181.42.0.0/15 #AS27651 ENTEL CHILE S.A., CL
186.9.144.0/21 #AS27651 ENTEL CHILE S.A., CL
186.10.0.0/17 #AS27651 ENTEL CHILE S.A., CL
186.10.128.0/21 #AS27651 ENTEL CHILE S.A., CL
186.10.136.0/24 #AS27651 ENTEL CHILE S.A., CL
186.10.139.0/24 #AS27651 ENTEL CHILE S.A., CL
186.10.140.0/22 #AS27651 ENTEL CHILE S.A., CL
186.10.144.0/20 #AS27651 ENTEL CHILE S.A., CL
186.10.160.0/22 #AS27651 ENTEL CHILE S.A., CL
186.10.165.0/24 #AS27651 ENTEL CHILE S.A., CL
186.10.166.0/23 #AS27651 ENTEL CHILE S.A., CL
186.10.168.0/21 #AS27651 ENTEL CHILE S.A., CL
186.10.176.0/20 #AS27651 ENTEL CHILE S.A., CL
186.10.192.0/21 #AS27651 ENTEL CHILE S.A., CL
186.10.200.0/24 #AS27651 ENTEL CHILE S.A., CL
186.10.202.0/23 #AS27651 ENTEL CHILE S.A., CL
186.10.204.0/22 #AS27651 ENTEL CHILE S.A., CL
186.10.208.0/21 #AS27651 ENTEL CHILE S.A., CL
186.10.216.0/23 #AS27651 ENTEL CHILE S.A., CL
186.10.219.0/24 #AS27651 ENTEL CHILE S.A., CL
186.10.221.0/24 #AS27651 ENTEL CHILE S.A., CL
186.10.222.0/23 #AS27651 ENTEL CHILE S.A., CL
186.10.224.0/19 #AS27651 ENTEL CHILE S.A., CL
186.11.0.0/17 #AS27651 ENTEL CHILE S.A., CL
186.67.0.0/16 #AS27651 ENTEL CHILE S.A., CL
190.91.32.0/19 #AS27651 ENTEL CHILE S.A., CL
190.91.144.0/20 #AS27651 ENTEL CHILE S.A., CL
190.91.160.0/22 #AS27651 ENTEL CHILE S.A., CL
190.91.196.0/22 #AS27651 ENTEL CHILE S.A., CL
190.91.204.0/22 #AS27651 ENTEL CHILE S.A., CL
190.151.0.0/17 #AS27651 ENTEL CHILE S.A., CL
192.192.48.0/24 #AS27651 ENTEL CHILE S.A., CL
200.7.16.0/20 #AS27651 ENTEL CHILE S.A., CL
200.10.221.0/24 #AS27651 ENTEL CHILE S.A., CL
200.11.64.0/19 #AS27651 ENTEL CHILE S.A., CL
200.11.96.0/23 #AS27651 ENTEL CHILE S.A., CL
200.11.99.0/24 #AS27651 ENTEL CHILE S.A., CL
200.11.100.0/22 #AS27651 ENTEL CHILE S.A., CL
200.14.137.0/24 #AS27651 ENTEL CHILE S.A., CL
200.14.155.0/24 #AS27651 ENTEL CHILE S.A., CL
200.72.0.0/16 #AS27651 ENTEL CHILE S.A., CL
200.111.0.0/16 #AS27651 ENTEL CHILE S.A., CL
190.14.48.0/20 #AS27659 Ingenieria e Informatica Asociada Ltda IIA Ltda, CL
200.6.96.0/19 #AS27659 Ingenieria e Informatica Asociada Ltda IIA Ltda, CL
139.229.132.0/24 #AS27676 ALMA - Atacama Large Millimeter Array, CL
200.2.0.0/21 #AS27676 ALMA - Atacama Large Millimeter Array, CL
200.1.115.0/24 #AS27677 AMDOCS CHILE SPA, CL
190.124.24.0/23 #AS27678 NIC Chile, CL
200.1.120.0/24 #AS27678 NIC Chile, CL
200.1.122.0/23 #AS27678 NIC Chile, CL
200.7.6.0/23 #AS27678 NIC Chile, CL
200.16.113.0/24 #AS27678 NIC Chile, CL
200.27.115.0/24 #AS27678 NIC Chile, CL
186.40.0.0/16 #AS27680 TELEFONICA MOVIL DE CHILE S.A., CL
190.108.128.0/18 #AS27680 TELEFONICA MOVIL DE CHILE S.A., CL
200.54.123.0/24 #AS27680 TELEFONICA MOVIL DE CHILE S.A., CL
200.91.1.0/24 #AS27680 TELEFONICA MOVIL DE CHILE S.A., CL
201.220.224.0/21 #AS27680 TELEFONICA MOVIL DE CHILE S.A., CL
201.220.232.0/23 #AS27680 TELEFONICA MOVIL DE CHILE S.A., CL
201.220.241.0/24 #AS27680 TELEFONICA MOVIL DE CHILE S.A., CL
201.220.242.0/23 #AS27680 TELEFONICA MOVIL DE CHILE S.A., CL
201.220.244.0/22 #AS27680 TELEFONICA MOVIL DE CHILE S.A., CL
206.31.176.0/23 #AS27680 TELEFONICA MOVIL DE CHILE S.A., CL
192.175.48.1/32 #AS27701 Netline, CL - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
192.175.48.1/32 #AS27719 Difarma Ltda, CL - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
200.55.203.0/24 #AS27732 A.F.P. Habitat S.A., CL
45.232.120.0/22 #AS27735 TIVIT CHILE TERCERIZACION DE PROCESOS, SERVICIOS Y TECNOLOGIA SpA, CL
186.0.216.0/24 #AS27735 TIVIT CHILE TERCERIZACION DE PROCESOS, SERVICIOS Y TECNOLOGIA SpA, CL
192.245.60.0/24 #AS27735 TIVIT CHILE TERCERIZACION DE PROCESOS, SERVICIOS Y TECNOLOGIA SpA, CL
200.27.166.0/24 #AS27735 TIVIT CHILE TERCERIZACION DE PROCESOS, SERVICIOS Y TECNOLOGIA SpA, CL
192.175.48.1/32 #AS27741 Superintendencia de Valores y Seguros, CL - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
200.14.104.0/23 #AS27746 LAN CHILE Lineas Aereas de Chile, CL
200.14.107.0/24 #AS27746 LAN CHILE Lineas Aereas de Chile, CL
200.14.106.0/24 #AS27766 LAN CHILE Lineas Aereas de Chile, CL
192.175.48.1/32 #AS27776 Inversiones y servicios EL BOLDO S.A, CL - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
200.1.174.0/24 #AS27838 Servibanca S.A., CL
200.10.0.0/24 #AS27853 Administradora BANCHILE de Fondos Mutuos, CL
200.10.2.0/24 #AS27853 Administradora BANCHILE de Fondos Mutuos, CL
200.6.18.0/24 #AS27856 UNIVERSIDAD UNIACC, CL
200.12.140.0/23 #AS27874 ENAP - Empresa Nacional del Petroleos Chile, CL
200.54.120.0/24 #AS27880 ATENTO CHILE S.A., CL
192.175.48.1/32 #AS27888 Caja de Compensacion de Asignacion Familiar La Araucana, CL - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
158.170.0.0/16 #AS27897 UNIVERSIDAD DE SANTIAGO DE CHILE, CL
200.6.53.0/24 #AS27899 QUINTEC CHILE S.A., CL
131.221.164.0/22 #AS27901 Pacifico Cable SPA., CL
138.99.224.0/22 #AS27901 Pacifico Cable SPA., CL
167.250.53.0/24 #AS27901 Pacifico Cable SPA., CL
